Host_protein	Pathogen_Protein	Host_taxid	Pathogen_taxid
P67812	P06927	9606	333760
Q00765	P06927	9606	333760
Q01650	P06927	9606	333760
Q03518	P06927	9606	333760
Q14165	P06927	9606	333760
Q15165	P06927	9606	333760
Q15392	P06927	9606	333760
Q15758	P06927	9606	333760
Q5HYI8	P06927	9606	333760
Q5VV42	P06927	9606	333760
Q6DD88	P06927	9606	333760
Q6NUQ4	P06927	9606	333760
Q6NZI2	P06927	9606	333760
Q6PIU2	P06927	9606	333760
Q70UQ0	P06927	9606	333760
Q7Z434	P06927	9606	333760
Q8IV08	P06927	9606	333760
Q8N2K0	P06927	9606	333760
Q8TCJ2	P06927	9606	333760
Q8TCT9	P06927	9606	333760
Q92643	P06927	9606	333760
Q969N2	P06927	9606	333760
Q969X5	P06927	9606	333760
Q96CS3	P06927	9606	333760
Q96DZ1	P06927	9606	333760
Q96JJ7	P06927	9606	333760
Q96N66	P06927	9606	333760
Q96S52	P06927	9606	333760
Q96S66	P06927	9606	333760
Q99442	P06927	9606	333760
Q99623	P06927	9606	333760
Q9BSA9	P06927	9606	333760
Q9BTV4	P06927	9606	333760
Q9BVC6	P06927	9606	333760
Q9C0E8	P06927	9606	333760
Q9H2V7	P06927	9606	333760
Q9HC07	P06927	9606	333760
Q9HD20	P06927	9606	333760
Q9HD45	P06927	9606	333760
Q9HDC9	P06927	9606	333760
Q9NP72	P06927	9606	333760
Q9NQC3	P06927	9606	333760
Q9NRP0	P06927	9606	333760
Q9NVI7	P06927	9606	333760
Q9NXS2	P06927	9606	333760
Q9NZ01	P06927	9606	333760
Q9NZJ7	P06927	9606	333760
Q9P035	P06927	9606	333760
Q9UNL2	P06927	9606	333760
Q9Y3E0	P06927	9606	333760
Q9Y4P3	P06927	9606	333760
Q9Y5M8	P06927	9606	333760
Q9Y6C9	P06927	9606	333760
Q9Y6N5	P06927	9606	333760
P08240	P06930	9606	333923
Q92793	P06930	9606	333923
Q96N66	P06930	9606	333923
Q9Y5M8	P06930	9606	333923
Q9Y6N5	P06930	9606	333923
Q12959	P06931	9606	10559
Q14257	P06931	9606	10559
P09543	P06932	9606	333923
P53621	P06932	9606	333923
Q13131	P06932	9606	333923
Q5VWZ2	P06932	9606	333923
Q96EY1	P06932	9606	333923
Q9NP81	P06932	9606	333923
Q9Y6N5	P06932	9606	333923
Q05086	P06933	9606	10559
P22626	P07242	9606	10254
Q12906	A6H4P0	9606	11276
P07355	P04591	9606	11676
Q8WWM7	Q6QDQ4	9606	28344
Q7L2E3	Q6QDQ4	9606	28344
Q9H2U1	Q6QDQ4	9606	28344
Q92945	Q6QDQ4	9606	28344
P11940	P07939	9606	10884
P55084	P07939	9606	10884
P67809	P07939	9606	10884
P07942	P03508	9606	211044
Q7Z406	O41957	9606	33708
Q7Z4H3	Q76353	9606	11676
Q96FJ2	Q6SW29	9606	295027
Q9BTV4	Q6SWA4	9606	10359
Q96AY3	Q6SWA4	9606	10359
Q9Y265	Q6SWA4	9606	10359
Q9H7D7	Q6SWA4	9606	10359
Q9Y230	Q6SWA4	9606	10359
Q14790	P08160	9606	46015
P08311	P04578	9606	11676
Q8IWU4	P08563	9606	11043
P08567	P08563	9606	11043
P08865	P03508	9606	211044
P08962	P04578	9606	11676
Q92556	Q85737	9606	11676
Q86VP6	Q6TVJ1	9606	10258
Q9H270	Q88489	9606	11084
Q8N2K0	Q8AZJ3	9606	10377
Q8N4Q1	Q8AZJ3	9606	10377
Q96AQ6	Q8AZJ3	9606	10377
Q9Y6N5	Q8AZJ3	9606	10377
Q8N163	Q8AZK7	9606	10377
Q8NC51	Q8AZK7	9606	10376
Q92616	Q8AZK7	9606	10376
Q96C36	Q8AZK7	9606	10376
Q99623	Q8AZK7	9606	10376
Q9BPW8	Q8AZK7	9606	10376
Q9BVK6	Q8AZK7	9606	10376
Q9HAV7	Q8AZK7	9606	10376
Q9HCC0	Q8AZK7	9606	10376
Q9UL15	Q8AZK7	9606	10377
Q9UNE7	Q8AZK7	9606	10376
Q9Y230	Q8AZK7	9606	10376
Q9Y265	Q8AZK7	9606	10376
Q9Y6N5	Q8AZK7	9606	10377
Q71U36	P0CK53	9606	10377
Q9H3U1	Q76353	9606	11676
Q9BVC6	Q77M19	9606	132487
Q8N490	Q77M19	9606	132487
Q8N2K0	Q77M19	9606	132487
Q7Z6Z7	Q77M19	9606	132487
Q86V81	Q77M19	9606	132487
Q96AA3	Q77M19	9606	132487
Q8NC51	Q77M19	9606	132487
Q9BU61	Q77M19	9606	132487
Q8N6L1	Q77M19	9606	132487
Q8TCT9	Q77M19	9606	132487
Q8WWM7	Q77M19	9606	132487
Q8WWC4	Q77M19	9606	132487
Q96A33	Q77M19	9606	132487
Q92504	Q77M19	9606	132487
Q92616	Q77M19	9606	132487
Q96A26	Q77M19	9606	132487
Q92947	Q77M19	9606	132487
Q9BT22	Q77M19	9606	132487
Q96BM9	Q77M19	9606	132487
Q99536	Q77M19	9606	132487
Q96CS3	Q77M19	9606	132487
Q96BR5	Q77M19	9606	132487
Q96T76	Q77M19	9606	132487
Q96EY1	Q77M19	9606	132487
Q96HS1	Q77M19	9606	132487
Q96IX5	Q77M19	9606	132487
Q9BSK2	Q77M19	9606	132487
Q99623	Q77M19	9606	132487
Q99832	Q77M19	9606	132487
Q99653	Q77M19	9606	132487
Q9BS26	Q77M19	9606	132487
Q9BQT8	Q77M19	9606	132487
Q9BPW8	Q77M19	9606	132487
Q9BQP7	Q77M19	9606	132487
Q9BRQ6	Q77M19	9606	132487
Q9BW92	Q77M19	9606	132487
Q9BZF1	Q77M19	9606	132487
Q9BYX4	Q77M19	9606	132487
Q9H9B4	Q77M19	9606	132487
Q9H936	Q77M19	9606	132487
Q9H0U4	Q77M19	9606	132487
Q9H078	Q77M19	9606	132487
Q9H583	Q77M19	9606	132487
Q9H1K4	Q77M19	9606	132487
Q9H3N1	Q77M19	9606	132487
Q9NVI1	Q77M19	9606	132487
Q9HC21	Q77M19	9606	132487
Q9HCN8	Q77M19	9606	132487
Q9Y241	Q77M19	9606	132487
Q9NS69	Q77M19	9606	132487
Q9NPL8	Q77M19	9606	132487
Q9NVH1	Q77M19	9606	132487
Q9NTJ5	Q77M19	9606	132487
Q9P0J0	Q77M19	9606	132487
Q9NZ01	Q77M19	9606	132487
Q9NWW5	Q77M19	9606	132487
Q9NX63	Q77M19	9606	132487
Q9P035	Q77M19	9606	132487
Q9NZL4	Q77M19	9606	132487
Q9P032	Q77M19	9606	132487
Q9UBM7	Q77M19	9606	132487
Q9P0L0	Q77M19	9606	132487
Q9P2J5	Q77M19	9606	132487
Q9UBS4	Q77M19	9606	132487
Q9UBB4	Q77M19	9606	132487
Q9UJS0	Q77M19	9606	132487
Q9Y230	Q77M19	9606	132487
Q9UBX3	Q77M19	9606	132487
Q9UHG3	Q77M19	9606	132487
Q9UNL2	Q77M19	9606	132487
Q9UJZ1	Q77M19	9606	132487
Q9UL25	Q77M19	9606	132487
Q9UNE7	Q77M19	9606	132487
Q9Y3U8	Q77M19	9606	132487
Q9Y265	Q77M19	9606	132487
Q9Y3E5	Q77M19	9606	132487
Q9Y394	Q77M19	9606	132487
Q9Y3B4	Q77M19	9606	132487
Q9Y5L0	Q77M19	9606	132487
Q9Y4L1	Q77M19	9606	132487
Q9Y4W6	Q77M19	9606	132487
Q9Y5M8	Q77M19	9606	132487
Q9Y5L4	Q77M19	9606	132487
Q9Y6K0	Q77M19	9606	132487
Q8IXM3	Q2I360	9606	10407
Q8N163	Q8JPQ9	9606	796210
Q92734	Q8JPQ9	9606	796210
Q96EY1	Q8JPQ9	9606	796210
Q9P0W8	Q8JPQ9	9606	796210
Q9UBS4	Q8JPQ9	9606	796210
Q9UKM7	Q8JPQ9	9606	796210
Q9Y230	Q8JPQ9	9606	796210
Q9Y265	Q8JPQ9	9606	796210
Q9BYC9	Q8JU44	9606	11082
Q12983	P03247	9606	10515
Q7Z6Z7	P04585	9606	11676
Q92608	Q85737	9606	11676
Q96BM9	Q86500	9606	11043
Q09472	P03129	9606	333760
Q9Y3Z3	Q02842	9606	11723
Q86Y07	P03182	9606	10377
Q10589	P69699	9606	11678
Q8IXJ6	P04608	9606	11676
Q96EB6	P04608	9606	11676
Q8WUM4	P04601	9606	11676
Q8WUM4	P04591	9606	11676
Q92793	P03255	9606	28285
Q92934	P03495	9606	381517
P19784	P03211	9606	10377
P21980	P06788	9606	333761
Q969H0	P03070	9606	10633
P51610	P10236	9606	10298
P51610	P04293	9606	10298
P52630	P11207	9606	11208
O14920	F5HEZ4	9606	37296
P10914	F5HF68	9606	37296
P26583	P03211	9606	10376
P37231	P26662	9606	11116
P49715	P03122	9606	10559
Q14974	P03101	9606	333760
Q8TAE8	P03107	9606	333760
P63279	P03116	9606	10559
P05412	P03129	9606	333760
Q05086	P03126	9606	333760
P04637	P03126	9606	333760
P14618	P03129	9606	333760
P12004	P03186	9606	10376
P63244	P03255	9606	28285
Q13114	P03230	9606	10376
P08962	P03230	9606	10377
Q09472	P03255	9606	28285
Q01860	P03259	9606	28282
P16220	P03259	9606	28282
Q6P597	P03363	9606	11909
Q9Y265	P03366	9606	11678
P07858	P03366	9606	11678
P62714	P03366	9606	11678
P13667	P03366	9606	11678
P60228	P03366	9606	11678
Q13347	P03366	9606	11678
Q14152	P03366	9606	11678
Q2T9J0	P03366	9606	11678
Q15084	P03366	9606	11678
Q15293	P03366	9606	11678
Q8N163	P03366	9606	11678
Q9UBQ5	P03366	9606	11678
Q9P2R7	P03366	9606	11678
Q9Y266	P03366	9606	11678
P52630	P29991	9606	31635
P26196	P03410	9606	11909
P06241	P03407	9606	11685
P08631	P03406	9606	11686
P14672	P03410	9606	11909
P37198	P03410	9606	11909
Q92530	P03410	9606	11909
Q8TAE8	P03410	9606	11909
Q96FJ2	P03410	9606	11909
Q969F0	P03410	9606	11909
Q9H0B3	P03410	9606	11909
Q9GZT8	P03410	9606	11909
Q9UK41	P03410	9606	11909
P55916	P03495	9606	381517
Q12906	P03496	9606	211044
Q05086	P04019	9606	10580
P67775	P04020	9606	10580
P14618	P04020	9606	10580
P30153	P04020	9606	10580
P04049	P03495	9606	381517
Q99683	P04324	9606	11679
Q10567	P04324	9606	11679
P08631	P04324	9606	11679
P0CG48	P04325	9606	11679
Q12959	P89079	9606	10527
Q14457	P89884	9606	33708
P07237	P04578	9606	11706
Q09472	P04585	9606	11676
P62753	P04591	9606	11676
P60709	P04591	9606	11676
P62937	P04591	9606	11676
P28070	P04601	9606	11676
P04899	P04601	9606	11676
P05556	P04601	9606	11676
P51572	P04601	9606	11676
P30086	P04601	9606	11676
P10914	P04608	9606	11676
Q9P2R7	Q76353	9606	11676
Q15363	P04618	9606	11706
P04637	P03120	9606	333760
Q9Y2S7	Q77M19	9606	132487
Q12959	P36799	9606	10614
Q05086	P06463	9606	333761
Q01860	P03129	9606	333760
P55084	P05919	9606	11706
P48047	P05919	9606	11706
P42704	P05919	9606	11706
P13598	P05919	9606	11706
P06576	P05919	9606	11706
P24539	P05919	9606	11706
P18859	P05919	9606	11706
P40939	P05919	9606	11706
P26038	P05919	9606	11706
P30049	P05919	9606	11706
Q96P70	P05919	9606	11706
Q53GQ0	P05919	9606	11706
P78527	P05919	9606	11706
P63208	P05919	9606	11706
Q15185	P05919	9606	11706
Q96F15	P05919	9606	11706
Q5T9A4	P05919	9606	11706
Q969Z0	P05919	9606	11706
Q9UHQ9	P05919	9606	11706
Q99653	P05919	9606	11706
Q9GZT3	P05919	9606	11706
Q9UBB4	P05919	9606	11706
Q9NQC3	P05919	9606	11706
Q9NVI7	P05919	9606	11706
Q10589	P05923	9606	11686
P06241	O92972	9606	420174
Q09472	P06422	9606	10579
P55209	P06422	9606	10579
Q13227	P06428	9606	10579
Q09472	P06428	9606	10579
Q05086	P06462	9606	10600
P46939	P06463	9606	333761
Q96L92	P06463	9606	333761
Q12959	P06463	9606	333761
P06748	B1Q2W9	9606	106820
P55209	P06790	9606	333761
Q13227	P06929	9606	10583
Q09472	P06930	9606	333923
Q05086	P06931	9606	10559
P17844	B4URF5	9606	382835
P63172	P07567	9606	11855
P07948	O92972	9606	420174
Q9NZM5	P08393	9606	10298
Q9BV47	P08563	9606	11043
Q53EZ4	P0C206	9606	11927
P63279	P0C206	9606	11927
P37198	P0C206	9606	11927
P68363	P0C732	9606	10376
Q9GZT8	P0C206	9606	11927
P11142	P0C732	9606	10376
Q13227	P69720	9606	11676
Q13501	P69720	9606	11676
Q9UNE7	P69720	9606	11676
Q13227	P69721	9606	11676
Q13501	P69721	9606	11676
Q9UNE7	P69721	9606	11676
Q13227	P69722	9606	11676
Q13501	P69722	9606	11676
Q9UNE7	P69722	9606	11676
Q13227	P69723	9606	11676
Q13501	P69723	9606	11676
Q9UNE7	P69723	9606	11676
P55957	P17361	9606	10254
Q92934	P17361	9606	10254
P61758	P35963	9606	362651
P12004	B4URF7	9606	382835
P12004	B4URF5	9606	382835
Q7Z6Z7	P12504	9606	11698
P62993	P12497	9606	11698
Q13227	P12504	9606	11698
P46379	P12504	9606	11698
Q96A33	P12520	9606	11698
P21964	P12520	9606	11698
P43243	P12520	9606	11698
P28288	P12520	9606	11698
Q13409	P12520	9606	11698
Q14204	P12520	9606	11698
Q5TAQ9	P12520	9606	11698
Q9Y6C9	P12520	9606	11698
Q9NRK6	P12520	9606	11698
Q9Y3Z3	P18099	9606	11709
P17482	P14079	9606	11927
P25786	P14079	9606	11927
Q9NX63	P14079	9606	11927
Q9UK41	P14079	9606	11927
P08631	O92972	9606	420174
P62993	O92972	9606	420174
P53618	P15829	9606	11676
P67775	P03129	9606	333760
P34932	P0C732	9606	10376
Q07812	P17361	9606	10254
Q9UH92	Q2Q067	9606	11908
Q9C0C7	P12504	9606	11698
Q9H4A6	P12520	9606	11698
Q9Y4K3	Q8V2D1	9606	10359
Q969F0	P14079	9606	11927
P82932	P14079	9606	11927
P19013	P14079	9606	11927
Q9GZT8	P14079	9606	11927
Q92793	P04608	9606	11676
Q9H3P7	O91464	9606	72149
P29474	P14079	9606	11927
P29590	P04489	9606	28285
Q13227	P03122	9606	10559
P55209	P03122	9606	10559
P62826	P03254	9606	10515
Q09472	P03259	9606	28282
P53999	P04326	9606	11679
P08631	P03407	9606	11685
P82932	P03410	9606	11909
Q01831	P13288	9606	10377
Q9NZM5	P04485	9606	10298
P0CG48	P04591	9606	11676
P55209	P04618	9606	11676
Q9H8Y8	Q99IB8	9606	356411
P04049	O39474	9606	11103
P49715	P06422	9606	10579
Q15942	P06462	9606	10600
Q9GZT8	Q85601	9606	11909
Q96FJ2	Q85601	9606	11909
Q9Y295	Q9WH76	9606	11273
Q09472	P06790	9606	333761
P08631	P04601	9606	11676
Q9UBQ5	Q9Q2G4	9606	11676
Q9UMS0	Q9Q2G4	9606	11676
Q9H583	Q76353	9606	11676
Q9Y224	Q67020	9606	382835
Q16611	P24356	9606	10254
P45984	P03254	9606	10515
Q96SB4	A7Y3Z3	9606	333760
O15350	O12161	9606	388812
Q969H0	Q91LX9	9606	37296
Q15365	O41951	9606	33708
Q96FJ2	P0C206	9606	11927
P15336	P03254	9606	10515
Q01094	P03129	9606	333760
Q9Y676	P03204	9606	10377
P13861	P03259	9606	28282
Q13501	P04578	9606	11676
Q09472	P04608	9606	11676
Q13227	P06462	9606	10600
Q13227	P06463	9606	333761
Q92793	P03259	9606	28282
Q14318	O39474	9606	11103
P04637	P03070	9606	10633
Q99816	P04591	9606	11676
